번호,모델코드,모델명,규격,단위,단가,작성자,작성일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 ,,EPM-2082,EMERGENCY CALL,EA,,이진형,06월 05일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 ,PA-EPM2082B,EPM-2082B,EPM-2082B,EA,,이진형,06월 05일,BOX-EKARS2H,1,CAP-IVORY-SMALL,1,CASE-EPM2082B,1,HAND-삼형 2H,2,KNOB-BLACK-SMALL,1,KNOB-LPM782A,1,PADCOM-02,2,PCB-EPM2082B-01,1,PCB-EPM2082B-02,1,PCB-EPM2082B-03,1,SP-MSF2D30,1,SUP-HEXA-5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 ,PA-EPR2821,EPR-2821,EPR-2821,EA,,이진형,06월 05일,BOX-EKARS1H,1,CAP-LSP120-01,4,CAP-WHITE-LARGE,1,CAP-WHITE-SMALL,8,CASE-EPR2821,1,CONN-050,1,CONN-EPR2821-09,1,CONN-EPR2821-10,1,HAND-삼형 1H,2,KNOB-CUP12.6-04,1,KNOB-GRAY-LARGE,1,KNOB-GRAY-SMALL,1,LED-3PIE/G,1,PADCOM-01,1,PADCOM-02,1,CONN-EPR2821-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 ,PA-EPS2161,EPS-2161,EPS-2161,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-EPS2161,1,CONN-CHD1140-01,1,HAND-삼형 1H,2,KNOB-SH-1U,1,PADCOM-01,1,PADCOM-02,1,PCB-EPS2161-01,1,PCB-EPS2161-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 ,PA-ERA2161,ERA-2161,ERA-2161,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-ERA2161,1,CONN-CHD1140-02,1,CONN-CHD1140-03-01,3,CONN-ERA2161-01,1,CONN-ERA2161-03,1,HAND-삼형 1H,2,PADCOM-01,1,PADCOM-02,1,PCB-ERA2161-01,1,PCB-ERA2161-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 ,PA-ERC2161,ERC-2161,ERC-2161,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-ERC2161,1,CONN-ERC2161-03,1,CONN-LML761-09,1,CONN-LML761-10,1,HAND-삼형 1H,2,KNOB-SH-1U(흑색),1,PADCOM-01,1,PADCOM-02,1,PCB-ERC2161-01,1,PCB-ERC2161-02,1,PIN-HIF3GA-2.54SP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 ,PA-ERG2161,ERG-2161,ERG-2161,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-ERG2161,1,CONN-CHD1140-02,1,CONN-CHD1140-03,2,HAND-삼형 1H,2,PADCOM-01,1,PADCOM-02,1,PCB-ERG2161-01,1,PCB-ERG2161-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 ,PA-ERX2161,ERX-2161,ERX-2161,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-ERX2161,1,CONN-LML761-09,1,CONN-LML761-10,1,HAND-삼형 1H,,,,2,KNOB-SH-1U,1,PADCOM-01,1,PADCOM-02,1,PCB-ERX2161-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ,PA-ESS2231,ESS-2231,ESS-2231,EA,,이진형,06월 05일,CASE-ESS2161,1,KNOB-ESS2161,1,PCB-ESS2161-01,1,PCB-ESS2161-02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 ,PA-ESS2161,ESS-2161,ESS-2161,EA,,이진형,06월 05일,CASE-ESS2161,1,KNOB-ESS2161,1,PCB-ESS2161-01,1,PCB-ESS2161-02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
